,State,Electoral_Votes,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-08-13 11:02:16.922366,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:02:29.708806,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:02:42.855530,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:02:55.419706,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:03:11.296056,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:03:24.332159,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:03:40.228270,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:04:15.887755,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:04:30.205869,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
2024-08-13 11:04:46.843257,Delaware,3,Biden,58.7,296268,Trump,39.8,200603,99
