,Leading_Candidate,Vote_Percent_Leader,Vote_Count_Leader,Trailing_Candidate,Vote_Percent_Trailer,Vote_Count_Trailer,Reported_Percent
2024-10-07 13:11:01.996112,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:11:14.565207,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:11:26.273403,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:11:37.839211,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:11:49.466561,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:12:00.589960,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:12:12.399531,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:12:24.763389,Trump,62.0,1441170,Harris,36.6,849624,99
2024-10-07 13:12:35.931564,Trump,62.0,1441170,Harris,36.6,849624,99
